seat_count,customer_id,name,accountId
7,cust_00001,Account 00001,acct_00001
10,cust_00002,Account 00002,acct_00002
6,cust_00003,Account 00003,acct_00003
9,cust_00004,Account 00004,acct_00004
4,cust_00005,Account 00005,acct_00005
3,cust_00006,Account 00006,acct_00006
12,cust_00007,Account 00007,acct_00007
3,cust_00008,Account 00008,acct_00008
3,cust_00009,Account 00009,acct_00009
4,cust_00010,Account 00010,acct_00010
11,cust_00011,Account 00011,acct_00011
6,cust_00012,Account 00012,acct_00012
6,cust_00013,Account 00013,acct_00013
8,cust_00014,Account 00014,acct_00014
7,cust_00015,Account 00015,acct_00015
11,cust_00016,Account 00016,acct_00016
3,cust_00017,Account 00017,acct_00017
11,cust_00018,Account 00018,acct_00018
12,cust_00019,Account 00019,acct_00019
8,cust_00020,Account 00020,acct_00020
11,cust_00021,Account 00021,acct_00021
7,cust_00022,Account 00022,acct_00022
4,cust_00023,Account 00023,acct_00023
3,cust_00024,Account 00024,acct_00024
6,cust_00025,Account 00025,acct_00025
10,cust_00026,Account 00026,acct_00026
11,cust_00027,Account 00027,acct_00027
12,cust_00028,Account 00028,acct_00028
9,cust_00029,Account 00029,acct_00029
9,cust_00030,Account 00030,acct_00030
6,cust_00031,Account 00031,acct_00031
12,cust_00032,Account 00032,acct_00032
7,cust_00033,Account 00033,acct_00033
5,cust_00034,Account 00034,acct_00034
8,cust_00035,Account 00035,acct_00035
6,cust_00036,Account 00036,acct_00036
7,cust_00037,Account 00037,acct_00037
6,cust_00038,Account 00038,acct_00038
6,cust_00039,Account 00039,acct_00039
7,cust_00040,Account 00040,acct_00040
3,cust_00041,Account 00041,acct_00041
4,cust_00042,Account 00042,acct_00042
4,cust_00043,Account 00043,acct_00043
11,cust_00044,Account 00044,acct_00044
6,cust_00045,Account 00045,acct_00045
8,cust_00046,Account 00046,acct_00046
5,cust_00047,Account 00047,acct_00047
10,cust_00048,Account 00048,acct_00048
3,cust_00049,Account 00049,acct_00049
12,cust_00050,Account 00050,acct_00050
3,cust_00051,Account 00051,acct_00051
9,cust_00052,Account 00052,acct_00052
11,cust_00053,Account 00053,acct_00053
11,cust_00054,Account 00054,acct_00054
8,cust_00055,Account 00055,acct_00055
8,cust_00056,Account 00056,acct_00056
4,cust_00057,Account 00057,acct_00057
12,cust_00058,Account 00058,acct_00058
