name,crm_id,customer_id
Synthetic Co 1518 Customer 00001,crm_00001,cust_00001
Synthetic Co 1518 Customer 00002,crm_00002,cust_00002
Synthetic Co 1518 Customer 00003,crm_00003,cust_00003
Synthetic Co 1518 Customer 00004,crm_00004,cust_00004
Synthetic Co 1518 Customer 00005,crm_00005,cust_00005
Synthetic Co 1518 Customer 00006,crm_00006,cust_00006
Synthetic Co 1518 Customer 00007,crm_00007,cust_00007
Synthetic Co 1518 Customer 00008,crm_00008,cust_00008
Synthetic Co 1518 Customer 00009,crm_00009,cust_00009
Synthetic Co 1518 Customer 00010,crm_00010,cust_00010
Synthetic Co 1518 Customer 00011,crm_00011,cust_00011
Synthetic Co 1518 Customer 00012,crm_00012,cust_00012
Synthetic Co 1518 Customer 00013,crm_00013,cust_00013
Synthetic Co 1518 Customer 00014,crm_00014,cust_00014
Synthetic Co 1518 Customer 00015,crm_00015,cust_00015
Synthetic Co 1518 Customer 00016,crm_00016,cust_00016
Synthetic Co 1518 Customer 00017,crm_00017,cust_00017
Synthetic Co 1518 Customer 00018,crm_00018,cust_00018
Synthetic Co 1518 Customer 00019,crm_00019,cust_00019
Synthetic Co 1518 Customer 00020,crm_00020,cust_00020
Synthetic Co 1518 Customer 00021,crm_00021,cust_00021
Synthetic Co 1518 Customer 00022,crm_00022,cust_00022
Synthetic Co 1518 Customer 00023,crm_00023,cust_00023
Synthetic Co 1518 Customer 00024,crm_00024,cust_00024
Synthetic Co 1518 Customer 00025,crm_00025,cust_00025
Synthetic Co 1518 Customer 00026,crm_00026,cust_00026
Synthetic Co 1518 Customer 00027,crm_00027,cust_00027
Synthetic Co 1518 Customer 00028,crm_00028,cust_00028
Synthetic Co 1518 Customer 00029,crm_00029,cust_00029
Synthetic Co 1518 Customer 00030,crm_00030,cust_00030
Synthetic Co 1518 Customer 00031,crm_00031,cust_00031
Synthetic Co 1518 Customer 00032,crm_00032,cust_00032
Synthetic Co 1518 Customer 00033,crm_00033,cust_00033
Synthetic Co 1518 Customer 00034,crm_00034,cust_00034
Synthetic Co 1518 Customer 00035,crm_00035,cust_00035
Synthetic Co 1518 Customer 00036,crm_00036,cust_00036
