quantity,Product_Id,renewal_date,currency,plan,customer_id,sub_id,price,billing_interval,coupon_id,Start Date,status
7,prod_starter_mo,01/09/2024,USD,Starter,cust_00001,sub_00001,1207.0289,monthly,,01/08/2024,active
10,prod_growth_mo,2024-09-02,USD,Growth,cust_00002,sub_00002,1915.9189,monthly,,02/08/2024,active
6,prod_professional_mo,03/09/2024,USD,Professional,cust_00003,sub_00003,4004.2706,monthly,,2024-08-03,active
9,prod_business_mo,2024-09-04,USD,Business,cust_00004,sub_00004,7816.9492,monthly,,08/04/2024,active
4,prod_starter_mo,2024/09/05,USD,Starter,cust_00005,sub_00005,1207.0289,monthly,,2024/08/05,active
3,prod_growth_mo,2024/09/06,USD,Growth,cust_00006,sub_00006,1915.9189,monthly,,08/06/2024,active
12,prod_professional_mo,07/09/2024,USD,Professional,cust_00007,sub_00007,4004.2706,monthly,,08/07/2024,active
3,prod_business_mo,08/09/2024,USD,Business,cust_00008,sub_00008,7816.9492,monthly,,08/08/2024,active
3,prod_starter_mo,09/09/2024,USD,Starter,cust_00009,sub_00009,1207.0289,monthly,,08/09/2024,active
4,prod_growth_mo,09/10/2024,USD,Growth,cust_00010,sub_00010,1915.9189,monthly,,10/08/2024,active
11,prod_professional_mo,2024-09-11,USD,Professional,cust_00011,sub_00011,4004.2706,monthly,,2024-08-11,active
6,prod_business_mo,2024-09-12,USD,Business,cust_00012,sub_00012,7816.9492,monthly,,08/12/2024,active
6,prod_starter_mo,13/09/2024,USD,Starter,cust_00013,sub_00013,1207.0289,monthly,,08/13/2024,active
8,prod_growth_mo,2024/09/14,USD,Growth,cust_00014,sub_00014,1915.9189,monthly,,2024-08-14,active
7,prod_professional_mo,2024-09-15,USD,Professional,cust_00015,sub_00015,4004.2706,monthly,,2024/08/15,active
11,prod_business_mo,16/09/2024,USD,Business,cust_00016,sub_00016,7816.9492,monthly,,16/08/2024,active
3,prod_starter_mo,2024-09-17,USD,Starter,cust_00017,sub_00017,1207.0289,monthly,,2024/08/17,active
11,prod_growth_mo,09/18/2024,USD,Growth,cust_00018,sub_00018,1915.9189,monthly,,2024/08/18,active
12,prod_professional_mo,2024-09-19,USD,Professional,cust_00019,sub_00019,4004.2706,monthly,,2024/08/19,active
8,prod_business_mo,2024-08-31,USD,Business,cust_00020,sub_00020,7816.9492,monthly,,07/31/2024,active
11,prod_starter_mo,2024/09/01,USD,Starter,cust_00021,sub_00021,1207.0289,monthly,,08/01/2024,active
7,prod_growth_mo,02/09/2024,USD,Growth,cust_00022,sub_00022,1915.9189,monthly,,08/02/2024,active
4,prod_professional_mo,2024/09/03,USD,Professional,cust_00023,sub_00023,4004.2706,monthly,,03/08/2024,active
3,prod_business_mo,2024-09-04,USD,Business,cust_00024,sub_00024,7816.9492,monthly,,04/08/2024,active
6,prod_starter_mo,2024/09/05,USD,Starter,cust_00025,sub_00025,1207.0289,monthly,,08/05/2024,active
10,prod_growth_mo,06/09/2024,USD,Growth,cust_00026,sub_00026,1915.9189,monthly,,08/06/2024,active
11,prod_professional_mo,07/09/2024,USD,Professional,cust_00027,sub_00027,4004.2706,monthly,,2024/08/07,active
12,prod_business_mo,2024/09/08,USD,Business,cust_00028,sub_00028,7816.9492,monthly,,2024/08/08,active
9,prod_starter_mo,2024/09/09,USD,Starter,cust_00029,sub_00029,1207.0289,monthly,,2024-08-09,active
9,prod_growth_mo,2024-09-10,USD,Growth,cust_00030,sub_00030,1915.9189,monthly,,08/10/2024,active
6,prod_professional_mo,09/11/2024,USD,Professional,cust_00031,sub_00031,4004.2706,monthly,,2024/08/11,active
12,prod_business_mo,12/09/2024,USD,Business,cust_00032,sub_00032,7816.9492,monthly,,2024-08-12,active
7,prod_starter_mo,13/09/2024,USD,Starter,cust_00033,sub_00033,1207.0289,monthly,,2024/08/13,active
5,prod_growth_mo,2024-09-14,USD,Growth,cust_00034,sub_00034,1915.9189,monthly,,2024/08/14,active
8,prod_professional_mo,2024-09-15,USD,Professional,cust_00035,sub_00035,4004.2706,monthly,,2024/08/15,active
6,prod_business_mo,2024/09/16,USD,Business,cust_00036,sub_00036,7816.9492,monthly,,2024/08/16,active
7,prod_starter_mo,17/09/2024,USD,Starter,cust_00037,sub_00037,1207.0289,monthly,,17/08/2024,active
6,prod_growth_mo,18/09/2024,USD,Growth,cust_00038,sub_00038,1915.9189,monthly,,18/08/2024,active
6,prod_professional_mo,2024-09-19,USD,Professional,cust_00039,sub_00039,4004.2706,monthly,,19/08/2024,active
7,prod_business_mo,2024/08/31,USD,Business,cust_00040,sub_00040,7816.9492,monthly,,2024/07/31,active
3,prod_starter_mo,09/01/2024,USD,Starter,cust_00041,sub_00041,1207.0289,monthly,,08/01/2024,active
4,prod_growth_mo,2024-09-02,USD,Growth,cust_00042,sub_00042,1915.9189,monthly,,2024/08/02,active
4,prod_professional_mo,09/03/2024,USD,Professional,cust_00043,sub_00043,4004.2706,monthly,,08/03/2024,active
11,prod_business_mo,04/09/2024,USD,Business,cust_00044,sub_00044,7816.9492,monthly,,2024/08/04,active
6,prod_starter_mo,05/09/2024,USD,Starter,cust_00045,sub_00045,1207.0289,monthly,,2024/08/05,active
8,prod_growth_mo,09/06/2024,USD,Growth,cust_00046,sub_00046,1915.9189,monthly,,2024-08-06,active
5,prod_professional_mo,09/07/2024,USD,Professional,cust_00047,sub_00047,4004.2706,monthly,,07/08/2024,active
10,prod_business_mo,2024-09-08,USD,Business,cust_00048,sub_00048,7816.9492,monthly,,08/08/2024,active
3,prod_starter_mo,2024/09/09,USD,Starter,cust_00049,sub_00049,1207.0289,monthly,,09/08/2024,active
12,prod_growth_mo,10/09/2024,USD,Growth,cust_00050,sub_00050,1915.9189,monthly,,2024/08/10,active
3,prod_professional_mo,09/11/2024,USD,Professional,cust_00051,sub_00051,4004.2706,monthly,,2024-08-11,active
9,prod_business_mo,12/09/2024,USD,Business,cust_00052,sub_00052,7816.9492,monthly,,12/08/2024,active
11,prod_starter_mo,2024/09/13,USD,Starter,cust_00053,sub_00053,1207.0289,monthly,,2024-08-13,active
11,prod_growth_mo,2024/09/14,USD,Growth,cust_00054,sub_00054,1915.9189,monthly,,2024/08/14,active
8,prod_professional_mo,2024-09-15,USD,Professional,cust_00055,sub_00055,4004.2706,monthly,,08/15/2024,active
8,prod_business_mo,2024-09-16,USD,Business,cust_00056,sub_00056,7816.9492,monthly,,08/16/2024,active
4,prod_starter_mo,17/09/2024,USD,Starter,cust_00057,sub_00057,1207.0289,monthly,,17/08/2024,active
12,prod_growth_mo,18/09/2024,USD,Growth,cust_00058,sub_00058,1915.9189,monthly,,18/08/2024,active
9,prod_professional_mo,19/09/2024,USD,Professional,cust_00059,sub_00059,4004.2706,monthly,,08/19/2024,active
12,prod_business_mo,31/08/2024,USD,Business,cust_00060,sub_00060,7816.9492,monthly,,31/07/2024,active
6,prod_starter_mo,2024/09/01,USD,Starter,cust_00061,sub_00061,1207.0289,monthly,,08/01/2024,active
10,prod_growth_mo,02/09/2024,USD,Growth,cust_00062,sub_00062,1915.9189,monthly,,2024-08-02,active
4,prod_professional_mo,09/03/2024,USD,Professional,cust_00063,sub_00063,4004.2706,monthly,,2024/08/03,active
9,prod_business_mo,2024/09/04,USD,Business,cust_00064,sub_00064,7816.9492,monthly,,08/04/2024,active
4,prod_starter_mo,05/09/2024,USD,Starter,cust_00065,sub_00065,1207.0289,monthly,,05/08/2024,active
6,prod_growth_mo,09/06/2024,USD,Growth,cust_00066,sub_00066,1915.9189,monthly,,08/06/2024,active
9,prod_professional_mo,07/09/2024,USD,Professional,cust_00067,sub_00067,4004.2706,monthly,,07/08/2024,active
5,prod_business_mo,2024/09/08,USD,Business,cust_00068,sub_00068,7816.9492,monthly,,08/08/2024,active
12,prod_starter_mo,2024/09/09,USD,Starter,cust_00069,sub_00069,1207.0289,monthly,,08/09/2024,active
7,prod_growth_mo,2024/09/10,USD,Growth,cust_00070,sub_00070,1915.9189,monthly,,2024-08-10,active
