line_item_id,invoice_id,customer_id,subscription_id,product_id,sku,quantity,unit_price,extended_price,billing_interval,line_item_date,currency,is_manual_override
li_0000001,inv_000001,cust_0001,sub_0001,prod_starter_yr,SKU-STARTER,5,450.80,2254.00,annual,2023-08-01,USD,false
li_0000002,inv_000002,cust_0001,sub_0001,prod_starter_yr,SKU-STARTER,5,450.80,2254.00,annual,2024-08-01,USD,false
li_0000003,inv_000003,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2023-08-01,USD,false
li_0000004,inv_000004,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2023-09-01,USD,false
li_0000005,inv_000005,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2023-10-01,USD,false
li_0000006,inv_000006,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2023-11-01,USD,false
li_0000007,inv_000007,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2023-12-01,USD,false
li_0000008,inv_000008,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-01-01,USD,false
li_0000009,inv_000009,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-02-01,USD,false
li_0000010,inv_000010,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-03-01,USD,false
li_0000011,inv_000011,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-04-01,USD,false
li_0000012,inv_000012,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-05-01,USD,false
li_0000013,inv_000013,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-06-01,USD,false
li_0000014,inv_000014,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-07-01,USD,false
li_0000015,inv_000015,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-08-01,USD,false
li_0000016,inv_000016,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-09-01,USD,false
li_0000017,inv_000017,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-10-01,USD,false
li_0000018,inv_000018,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-11-01,USD,false
li_0000019,inv_000019,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2024-12-01,USD,false
li_0000020,inv_000020,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2025-01-01,USD,false
li_0000021,inv_000021,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2025-02-01,USD,false
li_0000022,inv_000022,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2025-03-01,USD,false
li_0000023,inv_000023,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2025-04-01,USD,false
li_0000024,inv_000024,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2025-05-01,USD,false
li_0000025,inv_000025,cust_0001,sub_0002,prod_growth_mo,SKU-GROWTH,2,91.08,182.16,monthly,2025-06-01,USD,false
li_0000026,inv_000026,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2023-08-01,USD,false
li_0000027,inv_000027,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2023-09-01,USD,false
li_0000028,inv_000028,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2023-10-01,USD,false
li_0000029,inv_000029,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2023-11-01,USD,false
li_0000030,inv_000030,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2023-12-01,USD,false
li_0000031,inv_000031,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2024-01-01,USD,false
li_0000032,inv_000032,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2024-02-01,USD,false
li_0000033,inv_000033,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2024-03-01,USD,false
li_0000034,inv_000034,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2024-04-01,USD,false
li_0000035,inv_000035,cust_0002,sub_0003,prod_professional_mo,SKU-PRO,2,183.08,366.16,monthly,2024-05-01,USD,false
