invoice_id,customer_id,subscription_id,invoice_number,invoice_date,period_start,period_end,subtotal,discount,total,currency,credit_amount
inv_000001,cust_0001,sub_0001,ACME-INV-000001,2023-08-01,2023-08-01,2024-08-01,2254.00,450.80,1803.20,USD,0.00
inv_000002,cust_0001,sub_0001,ACME-INV-000002,2024-08-01,2024-08-01,2025-08-01,2254.00,450.80,1803.20,USD,0.00
inv_000003,cust_0001,sub_0002,ACME-INV-000003,2023-08-01,2023-08-01,2023-09-01,182.16,36.43,145.73,USD,0.00
inv_000004,cust_0001,sub_0002,ACME-INV-000004,2023-09-01,2023-09-01,2023-10-01,182.16,36.43,145.73,USD,0.00
inv_000005,cust_0001,sub_0002,ACME-INV-000005,2023-10-01,2023-10-01,2023-11-01,182.16,36.43,145.73,USD,0.00
inv_000006,cust_0001,sub_0002,ACME-INV-000006,2023-11-01,2023-11-01,2023-12-01,182.16,36.43,145.73,USD,0.00
inv_000007,cust_0001,sub_0002,ACME-INV-000007,2023-12-01,2023-12-01,2024-01-01,182.16,36.43,145.73,USD,0.00
inv_000008,cust_0001,sub_0002,ACME-INV-000008,2024-01-01,2024-01-01,2024-02-01,182.16,36.43,145.73,USD,0.00
inv_000009,cust_0001,sub_0002,ACME-INV-000009,2024-02-01,2024-02-01,2024-03-01,182.16,36.43,145.73,USD,0.00
inv_000010,cust_0001,sub_0002,ACME-INV-000010,2024-03-01,2024-03-01,2024-04-01,182.16,36.43,145.73,USD,0.00
inv_000011,cust_0001,sub_0002,ACME-INV-000011,2024-04-01,2024-04-01,2024-05-01,182.16,36.43,145.73,USD,0.00
inv_000012,cust_0001,sub_0002,ACME-INV-000012,2024-05-01,2024-05-01,2024-06-01,182.16,36.43,145.73,USD,0.00
inv_000013,cust_0001,sub_0002,ACME-INV-000013,2024-06-01,2024-06-01,2024-07-01,182.16,36.43,145.73,USD,0.00
inv_000014,cust_0001,sub_0002,ACME-INV-000014,2024-07-01,2024-07-01,2024-08-01,182.16,36.43,145.73,USD,0.00
inv_000015,cust_0001,sub_0002,ACME-INV-000015,2024-08-01,2024-08-01,2024-09-01,182.16,36.43,145.73,USD,0.00
inv_000016,cust_0001,sub_0002,ACME-INV-000016,2024-09-01,2024-09-01,2024-10-01,182.16,36.43,145.73,USD,0.00
inv_000017,cust_0001,sub_0002,ACME-INV-000017,2024-10-01,2024-10-01,2024-11-01,182.16,36.43,145.73,USD,0.00
inv_000018,cust_0001,sub_0002,ACME-INV-000018,2024-11-01,2024-11-01,2024-12-01,182.16,36.43,145.73,USD,0.00
inv_000019,cust_0001,sub_0002,ACME-INV-000019,2024-12-01,2024-12-01,2025-01-01,182.16,36.43,145.73,USD,0.00
inv_000020,cust_0001,sub_0002,ACME-INV-000020,2025-01-01,2025-01-01,2025-02-01,182.16,36.43,145.73,USD,0.00
inv_000021,cust_0001,sub_0002,ACME-INV-000021,2025-02-01,2025-02-01,2025-03-01,182.16,36.43,145.73,USD,0.00
inv_000022,cust_0001,sub_0002,ACME-INV-000022,2025-03-01,2025-03-01,2025-04-01,182.16,36.43,145.73,USD,0.00
inv_000023,cust_0001,sub_0002,ACME-INV-000023,2025-04-01,2025-04-01,2025-05-01,182.16,36.43,145.73,USD,0.00
inv_000024,cust_0001,sub_0002,ACME-INV-000024,2025-05-01,2025-05-01,2025-06-01,182.16,36.43,145.73,USD,0.00
inv_000025,cust_0001,sub_0002,ACME-INV-000025,2025-06-01,2025-06-01,2025-07-01,182.16,36.43,145.73,USD,0.00
