product_id,sku,version,effective_date,list_price,currency,billing_interval
prod_starter_mo,SKU-STARTER,v1,2023-01-01,49.00,USD,monthly
prod_starter_mo,SKU-STARTER,v2,2024-07-01,56.35,USD,monthly
prod_starter_yr,SKU-STARTER,v1,2023-01-01,490.00,USD,annual
prod_starter_yr,SKU-STARTER,v2,2024-07-01,563.50,USD,annual
prod_growth_mo,SKU-GROWTH,v1,2023-01-01,99.00,USD,monthly
prod_growth_mo,SKU-GROWTH,v2,2024-07-01,113.85,USD,monthly
prod_growth_yr,SKU-GROWTH,v1,2023-01-01,990.00,USD,annual
prod_growth_yr,SKU-GROWTH,v2,2024-07-01,1138.50,USD,annual
prod_professional_mo,SKU-PRO,v1,2023-01-01,199.00,USD,monthly
prod_professional_mo,SKU-PRO,v2,2024-07-01,228.85,USD,monthly
prod_professional_yr,SKU-PRO,v1,2023-01-01,1990.00,USD,annual
prod_professional_yr,SKU-PRO,v2,2024-07-01,2288.50,USD,annual
prod_business_mo,SKU-BIZ,v1,2023-01-01,399.00,USD,monthly
prod_business_mo,SKU-BIZ,v2,2024-07-01,458.85,USD,monthly
prod_business_yr,SKU-BIZ,v1,2023-01-01,3990.00,USD,annual
prod_business_yr,SKU-BIZ,v2,2024-07-01,4588.50,USD,annual
prod_enterprise_mo,SKU-ENT,v1,2023-01-01,699.00,USD,monthly
prod_enterprise_mo,SKU-ENT,v2,2024-07-01,803.85,USD,monthly
prod_enterprise_yr,SKU-ENT,v1,2023-01-01,6990.00,USD,annual
prod_enterprise_yr,SKU-ENT,v2,2024-07-01,8038.50,USD,annual
prod_ultimate_mo,SKU-ULT,v1,2023-01-01,999.00,USD,monthly
prod_ultimate_mo,SKU-ULT,v2,2024-07-01,1148.85,USD,monthly
prod_ultimate_yr,SKU-ULT,v1,2023-01-01,9990.00,USD,annual
prod_ultimate_yr,SKU-ULT,v2,2024-07-01,11488.50,USD,annual
