line_item_id,invoice_id,customer_id,subscription_id,product_id,sku,quantity,unit_price,extended_price,billing_interval,line_item_date,currency,is_manual_override
mer_li_0000001,mer_inv_000001,mer_cust_0001,mer_sub_0001,prod_starter_yr,SKU-STARTER,6,439.04,2634.24,annual,2025-04-01,USD,false
mer_li_0000002,mer_inv_000002,mer_cust_0002,mer_sub_0002,prod_growth_mo,SKU-GROWTH,12,88.70,1064.40,monthly,2025-04-01,USD,false
mer_li_0000003,mer_inv_000003,mer_cust_0002,mer_sub_0002,prod_growth_mo,SKU-GROWTH,12,88.70,1064.40,monthly,2025-05-01,USD,false
mer_li_0000004,mer_inv_000004,mer_cust_0002,mer_sub_0002,prod_growth_mo,SKU-GROWTH,12,88.70,1064.40,monthly,2025-06-01,USD,false
mer_li_0000005,mer_inv_000005,mer_cust_0002,mer_sub_0002,prod_growth_mo,SKU-GROWTH,12,88.70,1064.40,monthly,2025-07-01,USD,false
mer_li_0000006,mer_inv_000006,mer_cust_0002,mer_sub_0002,prod_growth_mo,SKU-GROWTH,12,88.70,1064.40,monthly,2025-08-01,USD,false
mer_li_0000007,mer_inv_000007,mer_cust_0003,mer_sub_0003,prod_professional_mo,SKU-PRO,23,178.30,4100.90,monthly,2025-04-01,USD,false
mer_li_0000008,mer_inv_000008,mer_cust_0003,mer_sub_0003,prod_professional_mo,SKU-PRO,23,178.30,4100.90,monthly,2025-05-01,USD,false
mer_li_0000009,mer_inv_000009,mer_cust_0003,mer_sub_0003,prod_professional_mo,SKU-PRO,23,178.30,4100.90,monthly,2025-06-01,USD,false
mer_li_0000010,mer_inv_000010,mer_cust_0003,mer_sub_0003,prod_professional_mo,SKU-PRO,23,178.30,4100.90,monthly,2025-07-01,USD,false
mer_li_0000011,mer_inv_000011,mer_cust_0003,mer_sub_0003,prod_professional_mo,SKU-PRO,23,178.30,4100.90,monthly,2025-08-01,USD,false
mer_li_0000012,mer_inv_000012,mer_cust_0004,mer_sub_0004,prod_business_mo,SKU-BIZ,16,357.50,5720.00,monthly,2025-04-01,USD,false
mer_li_0000013,mer_inv_000013,mer_cust_0004,mer_sub_0004,prod_business_mo,SKU-BIZ,16,357.50,5720.00,monthly,2025-05-01,USD,false
mer_li_0000014,mer_inv_000014,mer_cust_0004,mer_sub_0004,prod_business_mo,SKU-BIZ,16,357.50,5720.00,monthly,2025-06-01,USD,false
mer_li_0000015,mer_inv_000015,mer_cust_0004,mer_sub_0004,prod_business_mo,SKU-BIZ,16,357.50,5720.00,monthly,2025-07-01,USD,false
mer_li_0000016,mer_inv_000016,mer_cust_0004,mer_sub_0004,prod_business_mo,SKU-BIZ,16,357.50,5720.00,monthly,2025-08-01,USD,false
mer_li_0000017,mer_inv_000017,mer_cust_0005,mer_sub_0005,prod_enterprise_mo,SKU-ENT,19,626.30,11899.70,monthly,2025-04-01,USD,false
mer_li_0000018,mer_inv_000018,mer_cust_0005,mer_sub_0005,prod_enterprise_mo,SKU-ENT,19,626.30,11899.70,monthly,2025-05-01,USD,false
mer_li_0000019,mer_inv_000019,mer_cust_0005,mer_sub_0005,prod_enterprise_mo,SKU-ENT,19,626.30,11899.70,monthly,2025-06-01,USD,false
mer_li_0000020,mer_inv_000020,mer_cust_0005,mer_sub_0005,prod_enterprise_mo,SKU-ENT,19,626.30,11899.70,monthly,2025-07-01,USD,false
mer_li_0000021,mer_inv_000021,mer_cust_0005,mer_sub_0005,prod_enterprise_mo,SKU-ENT,19,626.30,11899.70,monthly,2025-08-01,USD,false
mer_li_0000022,mer_inv_000022,mer_cust_0006,mer_sub_0006,prod_starter_yr,SKU-STARTER,3,439.04,1317.12,annual,2025-04-01,USD,false
mer_li_0000023,mer_inv_000023,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2023-09-01,USD,false
mer_li_0000024,mer_inv_000024,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2023-10-01,USD,false
mer_li_0000025,mer_inv_000025,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2023-11-01,USD,false
mer_li_0000026,mer_inv_000026,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2023-12-01,USD,false
mer_li_0000027,mer_inv_000027,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2024-01-01,USD,false
mer_li_0000028,mer_inv_000028,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2024-02-01,USD,false
mer_li_0000029,mer_inv_000029,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2024-03-01,USD,false
mer_li_0000030,mer_inv_000030,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2024-04-01,USD,false
mer_li_0000031,mer_inv_000031,mer_cust_0007,mer_sub_0007,prod_growth_mo,SKU-GROWTH,15,99.00,1485.00,monthly,2024-05-01,USD,false
