invoice_id,customer_id,subscription_id,invoice_number,invoice_date,period_start,period_end,subtotal,discount,total,currency,credit_amount
mer_inv_000001,mer_cust_0001,mer_sub_0001,MER-INV-000001,2025-04-01,2025-04-01,2026-04-01,9228.80,1845.76,7383.04,USD,0.00
mer_inv_000002,mer_cust_0002,mer_sub_0002,MER-INV-000002,2025-04-01,2025-04-01,2025-05-01,1024.98,205.00,819.98,USD,0.00
mer_inv_000003,mer_cust_0002,mer_sub_0002,MER-INV-000003,2025-05-01,2025-05-01,2025-06-01,1024.98,205.00,819.98,USD,0.00
mer_inv_000004,mer_cust_0002,mer_sub_0002,MER-INV-000004,2025-06-01,2025-06-01,2025-07-01,1024.98,205.00,819.98,USD,0.00
mer_inv_000005,mer_cust_0002,mer_sub_0002,MER-INV-000005,2025-07-01,2025-07-01,2025-08-01,1024.98,205.00,819.98,USD,0.00
mer_inv_000006,mer_cust_0002,mer_sub_0002,MER-INV-000006,2025-08-01,2025-08-01,2025-09-01,1024.98,205.00,819.98,USD,0.00
mer_inv_000007,mer_cust_0002,mer_sub_0003,MER-INV-000007,2025-04-01,2025-04-01,2025-05-01,2059.86,411.97,1647.89,USD,0.00
mer_inv_000008,mer_cust_0002,mer_sub_0003,MER-INV-000008,2025-05-01,2025-05-01,2025-06-01,2059.86,411.97,1647.89,USD,0.00
mer_inv_000009,mer_cust_0002,mer_sub_0003,MER-INV-000009,2025-06-01,2025-06-01,2025-07-01,2059.86,411.97,1647.89,USD,0.00
mer_inv_000010,mer_cust_0002,mer_sub_0003,MER-INV-000010,2025-07-01,2025-07-01,2025-08-01,2059.86,411.97,1647.89,USD,0.00
mer_inv_000011,mer_cust_0002,mer_sub_0003,MER-INV-000011,2025-08-01,2025-08-01,2025-09-01,2059.86,411.97,1647.89,USD,0.00
mer_inv_000012,mer_cust_0003,mer_sub_0004,MER-INV-000012,2025-04-01,2025-04-01,2025-05-01,9385.50,1877.10,7508.40,USD,0.00
mer_inv_000013,mer_cust_0003,mer_sub_0004,MER-INV-000013,2025-05-01,2025-05-01,2025-06-01,9385.50,1877.10,7508.40,USD,0.00
mer_inv_000014,mer_cust_0003,mer_sub_0004,MER-INV-000014,2025-06-01,2025-06-01,2025-07-01,9385.50,1877.10,7508.40,USD,0.00
mer_inv_000015,mer_cust_0003,mer_sub_0004,MER-INV-000015,2025-07-01,2025-07-01,2025-08-01,9385.50,1877.10,7508.40,USD,0.00
mer_inv_000016,mer_cust_0003,mer_sub_0004,MER-INV-000016,2025-08-01,2025-08-01,2025-09-01,9385.50,1877.10,7508.40,USD,0.00
mer_inv_000017,mer_cust_0004,mer_sub_0005,MER-INV-000017,2025-04-01,2025-04-01,2025-05-01,12495.54,2499.11,9996.43,USD,0.00
mer_inv_000018,mer_cust_0004,mer_sub_0005,MER-INV-000018,2025-05-01,2025-05-01,2025-06-01,12495.54,2499.11,9996.43,USD,0.00
mer_inv_000019,mer_cust_0004,mer_sub_0005,MER-INV-000019,2025-06-01,2025-06-01,2025-07-01,12495.54,2499.11,9996.43,USD,0.00
mer_inv_000020,mer_cust_0004,mer_sub_0005,MER-INV-000020,2025-07-01,2025-07-01,2025-08-01,12495.54,2499.11,9996.43,USD,0.00
mer_inv_000021,mer_cust_0004,mer_sub_0005,MER-INV-000021,2025-08-01,2025-08-01,2025-09-01,12495.54,2499.11,9996.43,USD,0.00
mer_inv_000022,mer_cust_0005,mer_sub_0006,MER-INV-000022,2025-04-01,2025-04-01,2026-04-01,11536.00,2307.20,9228.80,USD,0.00
mer_inv_000023,mer_cust_0006,mer_sub_0007,MER-INV-000023,2023-09-01,2023-09-01,2023-10-01,1872.00,0.00,1872.00,USD,0.00
mer_inv_000024,mer_cust_0006,mer_sub_0007,MER-INV-000024,2023-10-01,2023-10-01,2023-11-01,1872.00,0.00,1872.00,USD,0.00
mer_inv_000025,mer_cust_0006,mer_sub_0007,MER-INV-000025,2023-11-01,2023-11-01,2023-12-01,1872.00,0.00,1872.00,USD,0.00
mer_inv_000026,mer_cust_0006,mer_sub_0007,MER-INV-000026,2023-12-01,2023-12-01,2024-01-01,1872.00,0.00,1872.00,USD,0.00
