product_id,sku,version,effective_date,list_price,currency,billing_interval
prod_starter_mo,SKU-STARTER,v1,2023-01-01,49.00,USD,monthly
prod_starter_mo,SKU-STARTER,v2,2024-07-01,54.88,USD,monthly
prod_starter_yr,SKU-STARTER,v1,2023-01-01,490.00,USD,annual
prod_starter_yr,SKU-STARTER,v2,2024-07-01,548.80,USD,annual
prod_growth_mo,SKU-GROWTH,v1,2023-01-01,99.00,USD,monthly
prod_growth_mo,SKU-GROWTH,v2,2024-07-01,110.88,USD,monthly
prod_growth_yr,SKU-GROWTH,v1,2023-01-01,990.00,USD,annual
prod_growth_yr,SKU-GROWTH,v2,2024-07-01,1108.80,USD,annual
prod_professional_mo,SKU-PRO,v1,2023-01-01,199.00,USD,monthly
prod_professional_mo,SKU-PRO,v2,2024-07-01,222.88,USD,monthly
prod_professional_yr,SKU-PRO,v1,2023-01-01,1990.00,USD,annual
prod_professional_yr,SKU-PRO,v2,2024-07-01,2228.80,USD,annual
prod_business_mo,SKU-BIZ,v1,2023-01-01,399.00,USD,monthly
prod_business_mo,SKU-BIZ,v2,2024-07-01,446.88,USD,monthly
prod_business_yr,SKU-BIZ,v1,2023-01-01,3990.00,USD,annual
prod_business_yr,SKU-BIZ,v2,2024-07-01,4468.80,USD,annual
prod_enterprise_mo,SKU-ENT,v1,2023-01-01,699.00,USD,monthly
prod_enterprise_mo,SKU-ENT,v2,2024-07-01,782.88,USD,monthly
prod_enterprise_yr,SKU-ENT,v1,2023-01-01,6990.00,USD,annual
prod_enterprise_yr,SKU-ENT,v2,2024-07-01,7828.80,USD,annual
