subscription_id,customer_id,product_id,plan,quantity,billing_interval,price,currency,start_date,renewal_date,status,coupon_id
mer_sub_0001,mer_cust_0001,prod_starter_yr,Starter,20,annual,461.44,USD,2025-04-01,2026-04-01,active,EOY25
mer_sub_0002,mer_cust_0002,prod_growth_mo,Growth,11,monthly,93.18,USD,2025-04-01,2025-05-01,active,EOY25
mer_sub_0003,mer_cust_0002,prod_professional_mo,Professional,11,monthly,187.26,USD,2025-04-01,2025-05-01,active,EOY25
mer_sub_0004,mer_cust_0003,prod_business_mo,Business,25,monthly,375.42,USD,2025-04-01,2025-05-01,active,EOY25
mer_sub_0005,mer_cust_0004,prod_enterprise_mo,Enterprise,19,monthly,657.66,USD,2025-04-01,2025-05-01,active,EOY25
mer_sub_0006,mer_cust_0005,prod_starter_yr,Starter,25,annual,461.44,USD,2025-04-01,2026-04-01,active,EOY25
mer_sub_0007,mer_cust_0006,prod_growth_mo,Growth,18,monthly,104.00,USD,2023-09-01,2024-08-01,active,
mer_sub_0008,mer_cust_0007,prod_professional_mo,Professional,25,monthly,209.00,USD,2023-09-04,2024-08-01,active,
mer_sub_0009,mer_cust_0008,prod_business_mo,Business,4,monthly,419.00,USD,2023-09-07,2024-08-01,active,
mer_sub_0010,mer_cust_0009,prod_enterprise_mo,Enterprise,22,monthly,698.77,USD,2025-05-01,2025-06-01,active,PARTNER15
mer_sub_0011,mer_cust_0010,prod_starter_yr,Starter,15,annual,490.28,USD,2025-05-01,2026-05-01,active,PARTNER15
mer_sub_0012,mer_cust_0011,prod_growth_mo,Growth,12,monthly,99.01,USD,2025-05-01,2025-06-01,active,PARTNER15
mer_sub_0013,mer_cust_0012,prod_professional_mo,Professional,22,monthly,201.31,USD,2023-06-01,2023-07-01,active,
mer_sub_0014,mer_cust_0013,prod_business_mo,Business,21,monthly,403.58,USD,2023-06-06,2023-07-06,active,
mer_sub_0015,mer_cust_0014,prod_enterprise_mo,Enterprise,4,monthly,706.99,USD,2023-06-11,2023-07-11,active,
mer_sub_0016,mer_cust_0015,prod_starter_yr,Starter,23,annual,524.89,USD,2023-06-16,2024-06-16,active,
mer_sub_0017,mer_cust_0016,prod_growth_mo,Growth,19,monthly,104.83,USD,2023-06-21,2023-07-21,active,
