subscription_id,customer_id,product_id,plan,quantity,billing_interval,price,currency,start_date,renewal_date,status,coupon_id
sub_00001,cust_00001,prod_starter_mo,Starter,11,monthly,60.95,EUR,2024-08-01,2024-09-01,active,PARTNER15
sub_00002,cust_00002,prod_growth_mo,Growth,5,monthly,129.95,EUR,2024-08-02,2024-09-02,active,PROD10
sub_00003,cust_00003,prod_professional_mo,Professional,5,monthly,247.25,EUR,2024-08-03,2024-09-03,active,
sub_00004,cust_00004,prod_business_mo,Business,4,monthly,479.55,EUR,2024-08-04,2024-09-04,active,
sub_00005,cust_00005,prod_starter_mo,Starter,5,monthly,60.95,EUR,2024-08-05,2024-09-05,active,
sub_00006,cust_00006,prod_growth_mo,Growth,7,monthly,129.95,EUR,2024-08-06,2024-09-06,active,
sub_00007,cust_00007,prod_professional_mo,Professional,4,monthly,247.25,EUR,2024-08-07,2024-09-07,active,
sub_00008,cust_00008,prod_business_mo,Business,10,monthly,479.55,EUR,2024-08-08,2024-09-08,active,
sub_00009,cust_00009,prod_starter_mo,Starter,12,monthly,60.95,EUR,2024-08-09,2024-09-09,active,
sub_00010,cust_00010,prod_growth_mo,Growth,9,monthly,129.95,EUR,2024-08-10,2024-09-10,active,
sub_00011,cust_00011,prod_professional_mo,Professional,5,monthly,247.25,EUR,2024-08-11,2024-09-11,active,REFER10
sub_00012,cust_00012,prod_business_mo,Business,4,monthly,479.55,EUR,2024-08-12,2024-09-12,active,
sub_00013,cust_00013,prod_starter_mo,Starter,6,monthly,60.95,EUR,2024-08-13,2024-09-13,active,
sub_00014,cust_00014,prod_growth_mo,Growth,7,monthly,129.95,EUR,2024-08-14,2024-09-14,active,
sub_00015,cust_00015,prod_professional_mo,Professional,7,monthly,247.25,EUR,2024-08-15,2024-01-01,cancelled,
sub_00016,cust_00016,prod_business_mo,Business,3,monthly,479.55,EUR,2024-08-16,2024-09-16,active,
sub_00017,cust_00017,prod_starter_mo,Starter,11,monthly,60.95,EUR,2024-08-17,2024-09-17,active,
sub_00018,cust_00018,prod_growth_mo,Growth,10,monthly,129.95,EUR,2024-08-18,2024-09-18,active,
sub_00019,cust_00019,prod_professional_mo,Professional,3,monthly,247.25,EUR,2024-08-19,2024-09-19,active,
sub_00020,cust_00020,prod_business_mo,Business,4,monthly,479.55,EUR,2024-07-31,2024-08-31,active,
sub_00021,cust_00021,prod_starter_mo,Starter,6,monthly,60.95,EUR,2024-08-01,2024-09-01,active,
sub_00022,cust_00022,prod_growth_mo,Growth,8,monthly,129.95,EUR,2024-08-02,2024-09-02,active,
sub_00023,cust_00023,prod_professional_mo,Professional,12,monthly,247.25,EUR,2024-08-03,2024-09-03,active,
sub_00024,cust_00024,prod_business_mo,Business,4,monthly,407.62,EUR,2022-06-01,2024-09-04,active,
sub_00025,cust_00025,prod_starter_mo,Starter,4,monthly,60.95,EUR,2024-08-05,2024-09-05,active,
sub_00026,cust_00026,prod_growth_mo,Growth,5,monthly,129.95,EUR,2024-08-06,2024-09-06,active,
sub_00027,cust_00027,prod_professional_mo,Professional,6,monthly,247.25,EUR,2024-08-07,2024-09-07,active,
sub_00028,cust_00028,prod_business_mo,Business,5,monthly,479.55,EUR,2024-08-08,2024-09-08,active,
sub_00029,cust_00029,prod_starter_mo,Starter,4,monthly,60.95,EUR,2024-08-09,2024-09-09,active,
sub_00030,cust_00030,prod_growth_mo,Growth,11,monthly,129.95,EUR,2024-08-10,2024-09-10,active,
sub_00031,cust_00031,prod_professional_mo,Professional,9,monthly,247.25,EUR,2024-08-11,2024-09-11,active,
sub_00032,cust_00032,prod_business_mo,Business,12,monthly,479.55,EUR,2024-08-12,2024-09-12,active,
sub_00033,cust_00033,prod_starter_mo,Starter,12,monthly,60.95,EUR,2024-08-13,2024-09-13,active,
sub_00034,cust_00034,prod_growth_mo,Growth,7,monthly,129.95,EUR,2024-08-14,2024-09-14,active,
sub_00035,cust_00035,prod_professional_mo,Professional,10,monthly,247.25,EUR,2024-08-15,2024-09-15,active,
sub_00036,cust_00036,prod_business_mo,Business,10,monthly,479.55,EUR,2024-08-16,2024-09-16,active,
sub_00037,cust_00037,prod_starter_mo,Starter,9,monthly,48.76,EUR,2023-08-01,2024-09-17,active,LAUNCH20
sub_00038,cust_00038,prod_growth_mo,Growth,11,monthly,114.36,EUR,2024-08-18,2024-09-18,active,
sub_00039,cust_00039,prod_professional_mo,Professional,8,monthly,247.25,EUR,2024-08-19,2024-09-19,active,
sub_00040,cust_00040,prod_business_mo,Business,5,monthly,479.55,EUR,2024-07-31,2024-08-31,active,DUP10
sub_00041,cust_00041,prod_starter_mo,Starter,9,monthly,60.95,EUR,2024-08-01,2024-09-01,active,
sub_00042,cust_00042,prod_growth_mo,Growth,6,monthly,129.95,EUR,2024-08-02,2024-09-02,active,
sub_00043,cust_00043,prod_professional_mo,Professional,5,monthly,247.25,EUR,2024-08-03,2024-09-03,active,
sub_00044,cust_00044,prod_business_mo,Business,3,monthly,479.55,EUR,2024-08-04,2024-09-04,active,
sub_00045,cust_00045,prod_starter_mo,Starter,6,monthly,60.95,EUR,2024-08-05,2024-09-05,active,
sub_00046,cust_00046,prod_growth_mo,Growth,5,monthly,129.95,EUR,2024-08-06,2024-09-06,active,
sub_00047,cust_00047,prod_professional_mo,Professional,9,monthly,247.25,EUR,2024-08-07,2024-09-07,active,
sub_00048,cust_00048,prod_business_mo,Business,10,monthly,479.55,EUR,2024-08-08,2024-09-08,active,
sub_00049,cust_00049,prod_starter_mo,Starter,10,monthly,60.95,EUR,2024-08-09,2024-09-09,active,
sub_00050,cust_00050,prod_growth_mo,Growth,11,monthly,116.96,EUR,2024-08-10,2024-09-10,active,
sub_00051,cust_00051,prod_professional_mo,Professional,6,monthly,247.25,EUR,2024-08-11,2024-09-11,active,
sub_00052,cust_00052,prod_business_mo,Business,12,monthly,479.55,EUR,2024-08-12,2024-09-12,active,
sub_00053,cust_00053,prod_starter_mo,Starter,9,monthly,60.95,EUR,2024-08-13,2024-09-13,active,
sub_00054,cust_00054,prod_growth_mo,Growth,11,monthly,129.95,EUR,2024-08-14,2024-09-14,active,
sub_00055,cust_00055,prod_professional_mo,Professional,4,monthly,247.25,EUR,2024-08-15,2024-09-15,active,
sub_00056,cust_00056,prod_business_mo,Business,6,monthly,479.55,EUR,2024-08-16,2024-09-16,active,
sub_00057,cust_00057,prod_starter_mo,Starter,7,monthly,60.95,EUR,2024-08-17,2024-09-17,active,
sub_00058,cust_00058,prod_growth_mo,Growth,12,monthly,129.95,EUR,2024-08-18,2024-09-18,active,
sub_00059,cust_00059,prod_professional_mo,Professional,12,monthly,247.25,EUR,2024-08-19,2024-09-19,active,
sub_00060,cust_00060,prod_business_mo,Business,9,monthly,479.55,EUR,2024-07-31,2024-08-31,active,
sub_00061,cust_00061,prod_starter_mo,Starter,12,monthly,60.95,EUR,2024-08-01,2024-09-01,active,
sub_00062,cust_00062,prod_growth_mo,Growth,3,monthly,129.95,EUR,2024-08-02,2024-09-02,active,
sub_00063,cust_00063,prod_professional_mo,Professional,12,monthly,247.25,EUR,2024-08-03,2024-09-03,active,
sub_00064,cust_00064,prod_business_mo,Business,12,monthly,479.55,EUR,2024-08-04,2024-09-04,active,
sub_00065,cust_00065,prod_starter_mo,Starter,5,monthly,60.95,EUR,2024-08-05,2024-09-05,active,
sub_00066,cust_00066,prod_growth_mo,Growth,12,monthly,129.95,EUR,2024-08-06,2024-09-06,active,
sub_00067,cust_00067,prod_professional_mo,Professional,8,monthly,247.25,EUR,2024-08-07,2024-09-07,active,
sub_00068,cust_00068,prod_business_mo,Business,4,monthly,479.55,EUR,2024-08-08,2024-09-08,active,
sub_00069,cust_00069,prod_starter_mo,Starter,5,monthly,60.95,EUR,2024-08-09,2024-09-09,active,
sub_00070,cust_00070,prod_growth_mo,Growth,3,monthly,129.95,EUR,2024-08-10,2024-09-10,active,
sub_00071,cust_00071,prod_professional_mo,Professional,9,monthly,247.25,EUR,2024-08-11,2024-09-11,active,
sub_00072,cust_00072,prod_business_mo,Business,5,monthly,479.55,EUR,2024-08-12,2024-09-12,active,
sub_00073,cust_00073,prod_starter_mo,Starter,8,monthly,60.95,EUR,2024-08-13,2024-09-13,active,
sub_00074,cust_00074,prod_growth_mo,Growth,12,monthly,110.46,EUR,2022-01-01,2024-09-14,active,
sub_00075,cust_00075,prod_professional_mo,Professional,9,monthly,247.25,EUR,2024-08-15,2024-09-15,active,
sub_00076,cust_00076,prod_business_mo,Business,8,monthly,479.55,EUR,2024-08-16,2024-09-16,active,
sub_00077,cust_00077,prod_starter_mo,Starter,9,monthly,60.95,EUR,2024-08-17,2024-09-17,active,
sub_00078,cust_00078,prod_growth_mo,Growth,3,monthly,129.95,EUR,2024-08-18,2024-09-18,active,
sub_00079,cust_00079,prod_professional_mo,Professional,3,monthly,247.25,EUR,2024-08-19,2024-09-19,active,
sub_00080,cust_00080,prod_business_mo,Business,5,monthly,479.55,EUR,2024-07-31,2024-08-31,active,
sub_00081,cust_00081,prod_starter_mo,Starter,8,monthly,60.95,EUR,2024-08-01,2024-09-01,active,
sub_00082,cust_00082,prod_growth_mo,Growth,6,monthly,129.95,EUR,2024-08-02,2024-09-02,active,
sub_00083,cust_00083,prod_professional_mo,Professional,3,monthly,247.25,EUR,2024-08-03,2024-09-03,active,
sub_00084,cust_00084,prod_business_mo,Business,9,monthly,479.55,EUR,2024-08-04,2024-09-04,active,
sub_00085,cust_00085,prod_starter_mo,Starter,7,monthly,60.95,EUR,2024-08-05,2024-09-05,active,
sub_00086,cust_00086,prod_growth_mo,Growth,6,monthly,129.95,EUR,2024-08-06,2024-09-06,active,
sub_00087,cust_00087,prod_professional_mo,Professional,5,monthly,247.25,EUR,2024-08-07,2024-09-07,active,
sub_00088,cust_00088,prod_business_mo,Business,3,monthly,479.55,EUR,2024-08-08,2024-09-08,active,
sub_00089,cust_00089,prod_starter_mo,Starter,4,monthly,60.95,EUR,2024-08-09,2024-09-09,active,
sub_00090,cust_00090,prod_growth_mo,Growth,12,monthly,129.95,EUR,2024-08-10,2024-09-10,active,
sub_00091,cust_00091,prod_professional_mo,Professional,3,monthly,247.25,EUR,2024-08-11,2024-09-11,active,
sub_00092,cust_00092,prod_business_mo,Business,5,monthly,479.55,EUR,2024-08-12,2024-09-12,active,
sub_00093,cust_00093,prod_starter_mo,Starter,7,monthly,60.95,EUR,2024-08-13,2024-09-13,active,
sub_00094,cust_00094,prod_growth_mo,Growth,9,monthly,129.95,EUR,2024-08-14,2024-09-14,active,
sub_00095,cust_00095,prod_professional_mo,Professional,7,monthly,247.25,EUR,2024-08-15,2024-09-15,active,
sub_00096,cust_00096,prod_business_mo,Business,6,monthly,479.55,EUR,2024-08-16,2024-09-16,active,
sub_00097,cust_00097,prod_starter_mo,Starter,3,monthly,60.95,EUR,2024-08-17,2024-09-17,active,
sub_00098,cust_00098,prod_growth_mo,Growth,5,monthly,129.95,EUR,2024-08-18,2024-09-18,active,
sub_00099,cust_00099,prod_professional_mo,Professional,12,monthly,247.25,EUR,2024-08-19,2024-09-19,active,
sub_00100,cust_00100,prod_business_mo,Business,40,monthly,479.55,EUR,2024-07-31,2024-08-31,active,
sub_dup_cust_00083_0,cust_00083,prod_starter_mo,Starter,1,monthly,60.95,EUR,2024-01-01,2024-02-01,active,
sub_dup_cust_00083_1,cust_00083,prod_starter_mo,Starter,1,monthly,60.95,EUR,2024-01-01,2024-02-01,active,
sub_free_cust_00009,cust_00009,prod_starter_mo,Growth,1,monthly,60.95,EUR,2023-01-01,2023-02-01,active,
