line_item_id,invoice_id,customer_id,subscription_id,product_id,sku,quantity,unit_price,extended_price,billing_interval,line_item_date,currency,is_manual_override
li_00000001,inv_0000001,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2024-08-01,GBP,false
li_00000002,inv_0000002,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2024-09-01,GBP,false
li_00000003,inv_0000003,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2024-10-01,GBP,false
li_00000004,inv_0000004,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2024-11-01,GBP,false
li_00000005,inv_0000005,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2024-12-01,GBP,false
li_00000006,inv_0000006,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-01-01,GBP,false
li_00000007,inv_0000007,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-02-01,GBP,false
li_00000008,inv_0000008,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-03-01,GBP,false
li_00000009,inv_0000009,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-04-01,GBP,false
li_00000010,inv_0000010,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-05-01,GBP,false
li_00000011,inv_0000011,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-06-01,GBP,false
li_00000012,inv_0000012,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-07-01,GBP,false
li_00000013,inv_0000013,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-08-01,GBP,false
li_00000014,inv_0000014,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-09-01,GBP,false
li_00000015,inv_0000015,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-10-01,GBP,false
li_00000016,inv_0000016,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-11-01,GBP,false
li_00000017,inv_0000017,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2025-12-01,GBP,false
li_00000018,inv_0000018,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2026-01-01,GBP,false
li_00000019,inv_0000019,cust_00001,sub_00001,prod_starter_mo,SKU-STAR-MO,7,60.95,426.65,monthly,2026-02-01,GBP,false
