invoice_id,customer_id,subscription_id,invoice_number,invoice_date,period_start,period_end,subtotal,discount,total,currency,credit_amount
inv_0000001,cust_00001,sub_00001,INV-0000001,2024-08-01,2024-08-01,2024-09-01,426.65,0.00,426.65,GBP,0.00
inv_0000002,cust_00001,sub_00001,INV-0000002,2024-09-01,2024-09-01,2024-10-01,426.65,0.00,426.65,GBP,0.00
inv_0000003,cust_00001,sub_00001,INV-0000003,2024-10-01,2024-10-01,2024-11-01,426.65,0.00,426.65,GBP,0.00
inv_0000004,cust_00001,sub_00001,INV-0000004,2024-11-01,2024-11-01,2024-12-01,426.65,0.00,426.65,GBP,0.00
inv_0000005,cust_00001,sub_00001,INV-0000005,2024-12-01,2024-12-01,2025-01-01,426.65,0.00,426.65,GBP,0.00
inv_0000006,cust_00001,sub_00001,INV-0000006,2025-01-01,2025-01-01,2025-02-01,426.65,0.00,426.65,GBP,0.00
inv_0000007,cust_00001,sub_00001,INV-0000007,2025-02-01,2025-02-01,2025-03-01,426.65,0.00,426.65,GBP,0.00
inv_0000008,cust_00001,sub_00001,INV-0000008,2025-03-01,2025-03-01,2025-04-01,426.65,0.00,426.65,GBP,0.00
inv_0000009,cust_00001,sub_00001,INV-0000009,2025-04-01,2025-04-01,2025-05-01,426.65,0.00,426.65,GBP,0.00
inv_0000010,cust_00001,sub_00001,INV-0000010,2025-05-01,2025-05-01,2025-06-01,426.65,0.00,426.65,GBP,0.00
inv_0000011,cust_00001,sub_00001,INV-0000011,2025-06-01,2025-06-01,2025-07-01,426.65,0.00,426.65,GBP,0.00
inv_0000012,cust_00001,sub_00001,INV-0000012,2025-07-01,2025-07-01,2025-08-01,426.65,0.00,426.65,GBP,0.00
inv_0000013,cust_00001,sub_00001,INV-0000013,2025-08-01,2025-08-01,2025-09-01,426.65,0.00,426.65,GBP,0.00
inv_0000014,cust_00001,sub_00001,INV-0000014,2025-09-01,2025-09-01,2025-10-01,426.65,0.00,426.65,GBP,0.00
inv_0000015,cust_00001,sub_00001,INV-0000015,2025-10-01,2025-10-01,2025-11-01,426.65,0.00,426.65,GBP,0.00
inv_0000016,cust_00001,sub_00001,INV-0000016,2025-11-01,2025-11-01,2025-12-01,426.65,0.00,426.65,GBP,0.00
inv_0000017,cust_00001,sub_00001,INV-0000017,2025-12-01,2025-12-01,2026-01-01,426.65,0.00,426.65,GBP,0.00
inv_0000018,cust_00001,sub_00001,INV-0000018,2026-01-01,2026-01-01,2026-02-01,426.65,0.00,426.65,GBP,0.00
inv_0000019,cust_00001,sub_00001,INV-0000019,2026-02-01,2026-02-01,2026-03-01,426.65,0.00,426.65,GBP,0.00
inv_0000020,cust_00001,sub_00001,INV-0000020,2026-03-01,2026-03-01,2026-04-01,426.65,0.00,426.65,GBP,0.00
inv_0000021,cust_00001,sub_00001,INV-0000021,2026-04-01,2026-04-01,2026-05-01,426.65,0.00,426.65,GBP,0.00
inv_0000022,cust_00001,sub_00001,INV-0000022,2026-05-01,2026-05-01,2026-06-01,426.65,0.00,426.65,GBP,0.00
inv_0000023,cust_00001,sub_00001,INV-0000023,2026-06-01,2026-06-01,2026-07-01,426.65,0.00,426.65,GBP,0.00
inv_0000024,cust_00002,sub_00002,INV-0000024,2024-08-02,2024-08-02,2024-09-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000025,cust_00002,sub_00002,INV-0000025,2024-09-02,2024-09-02,2024-10-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000026,cust_00002,sub_00002,INV-0000026,2024-10-02,2024-10-02,2024-11-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000027,cust_00002,sub_00002,INV-0000027,2024-11-02,2024-11-02,2024-12-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000028,cust_00002,sub_00002,INV-0000028,2024-12-02,2024-12-02,2025-01-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000029,cust_00002,sub_00002,INV-0000029,2025-01-02,2025-01-02,2025-02-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000030,cust_00002,sub_00002,INV-0000030,2025-02-02,2025-02-02,2025-03-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000031,cust_00002,sub_00002,INV-0000031,2025-03-02,2025-03-02,2025-04-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000032,cust_00002,sub_00002,INV-0000032,2025-04-02,2025-04-02,2025-05-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000033,cust_00002,sub_00002,INV-0000033,2025-05-02,2025-05-02,2025-06-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000034,cust_00002,sub_00002,INV-0000034,2025-06-02,2025-06-02,2025-07-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000035,cust_00002,sub_00002,INV-0000035,2025-07-02,2025-07-02,2025-08-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000036,cust_00002,sub_00002,INV-0000036,2025-08-02,2025-08-02,2025-09-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000037,cust_00002,sub_00002,INV-0000037,2025-09-02,2025-09-02,2025-10-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000038,cust_00002,sub_00002,INV-0000038,2025-10-02,2025-10-02,2025-11-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000039,cust_00002,sub_00002,INV-0000039,2025-11-02,2025-11-02,2025-12-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000040,cust_00002,sub_00002,INV-0000040,2025-12-02,2025-12-02,2026-01-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000041,cust_00002,sub_00002,INV-0000041,2026-01-02,2026-01-02,2026-02-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000042,cust_00002,sub_00002,INV-0000042,2026-02-02,2026-02-02,2026-03-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000043,cust_00002,sub_00002,INV-0000043,2026-03-02,2026-03-02,2026-04-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000044,cust_00002,sub_00002,INV-0000044,2026-04-02,2026-04-02,2026-05-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000045,cust_00002,sub_00002,INV-0000045,2026-05-02,2026-05-02,2026-06-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000046,cust_00002,sub_00002,INV-0000046,2026-06-02,2026-06-02,2026-07-02,1442.10,0.00,1442.10,GBP,0.00
inv_0000047,cust_00003,sub_00003,INV-0000047,2024-08-03,2024-08-03,2024-09-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000048,cust_00003,sub_00003,INV-0000048,2024-09-03,2024-09-03,2024-10-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000049,cust_00003,sub_00003,INV-0000049,2024-10-03,2024-10-03,2024-11-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000050,cust_00003,sub_00003,INV-0000050,2024-11-03,2024-11-03,2024-12-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000051,cust_00003,sub_00003,INV-0000051,2024-12-03,2024-12-03,2025-01-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000052,cust_00003,sub_00003,INV-0000052,2025-01-03,2025-01-03,2025-02-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000053,cust_00003,sub_00003,INV-0000053,2025-02-03,2025-02-03,2025-03-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000054,cust_00003,sub_00003,INV-0000054,2025-03-03,2025-03-03,2025-04-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000055,cust_00003,sub_00003,INV-0000055,2025-04-03,2025-04-03,2025-05-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000056,cust_00003,sub_00003,INV-0000056,2025-05-03,2025-05-03,2025-06-03,2681.80,0.00,2681.80,GBP,0.00
inv_0000057,cust_00003,sub_00003,INV-0000057,2025-06-03,2025-06-03,2025-07-03,2681.80,0.00,2681.80,GBP,0.00
